1	38600000.000000	3470000	
2	12000000.000000	3470000	
4	2900000.000000	3670000	
8	1400000.000000	3710000	
16	711000.000000	3680000	
32	354000.000000	3790000	
48	236000.000000	3780000	
64	178000.000000	3780000	
80	142000.000000	3700000	
96	117000.000000	3650000	
112	103000.000000	3610000	
128	89600.000000	3580000	
144	79300.000000	3490000	
160	72200.000000	3410000	
176	66900.000000	3350000	
192	62100.000000	3290000	
208	56800.000000	3220000	
224	52100.000000	3150000	
240	48300.000000	3080000	
256	44100.000000	3020000	
