# HEKATON: no contention
# Cores   txns/sec
1       503821.739807   0
15      6312366.904951  0
30      5521460.863647  0
45      3952220.374501  0
60      4387910.335925  0
75      5089133.230494  0
90      5053411.462378  0
105     5467618.498254  0
120     5691776.707031  0
135     5655955.196838  0
150     6292711.675077  0
165     6889427.346490  0
180     7299577.549600  0
195     6778767.251975  0
210     7821169.279826  0
225     7807105.896168  0
240     8395112.222473  0


# HEKATON: med contention
# Cores Txns/sec        Aborts
1       75889.796480    0.000000
15      1107700.815392  2050.428445
30      1490369.789918  5708.593723
45      1972290.529489  11587.874695
60      2479420.302550  19031.331263
75      2509973.900197  22673.460084
90      2953192.149812  32097.854147
105     3088489.665682  38500.584006
120     2945178.853780  47368.981075
135     376534.972256   48672.426345
150     3395335.743787  62171.737874
165     461735.068122   52696.848437
180     296958.285856   46124.284030
195     1088289.254298  59314.134257
210     297297.067216   50440.911082
225     155782.835762   39498.140141
240     142439.466304   42422.098811


# HEKATON: high contention
# Cores Txns/sec        Aborts
1       64741.228017    0.000000
15      890685.752456   469070.039507
30      78943.142796    272541.511661
45      27498.706695    196288.042100
60      14742.158195    199054.744699



# HEKATON: no contention
# Cores   txns/sec
1       531508.063775   0.000000
15      6739625.184080  0.000000
30      11845738.087384 0.000000
45      18329823.074234 0.000000
60      23816554.849683 0.000000
75      28891302.416026 0.000000
90      36044012.667914 0.000000
105     41358155.410636 0.000000
120     45149597.702119 0.000000
135     45677284.475121 0.000000
150     51684639.027877 0.000000
165     56822770.578109 0.000000
180     58730125.062849 0.000000
195     61043290.837902 0.000000
210     61155970.502790 0.000000
225     65124477.571718 0.000000
240     68623642.577140 0.000000


# HEKATON: med contention
# Cores   txns/sec
1       87639.676830    0.000000
15      1178689.989436  2144.966721
30      1366924.672819  5283.883572
45      1761115.008170  10442.999352
60      2269827.068323  18071.779832
75      2787165.735126  27969.476602
90      3204954.173219  38784.735767
105     3796461.553479  53780.108419

