# EPTMSTMP: no contention
# Cores   txns/sec
1       429188.785984   0
15      6386638.056982  0
30      9800039.545000  0
45      14718207.281160 0
60      20500293.020443 0
75      24407742.736341 0
90      31475866.840435 0
105     35166648.963347 0
120     41486896.522025 0
135     45859533.606213 0
150     50802921.646463 0
165     54905975.888830 0
180     60066766.279896 0
195     64284820.884990 0
210     68071821.392977 0
225     71097207.752935 0
240     72173040.658897 0


# EPTMSTMP: med contention
# Cores   txns/sec
1       79637.769200    0
15      1212823.688728  1095
30      1617489.563868  2867
45      2143069.237084  5728
60      2898728.461559  10351
75      3385292.843210  15126
90      4035128.941278  21532
105     4669337.256998  29121
120     5595527.932781  36240
135     6083740.022226  44317
150     6505308.119061  53796
165     7125132.960147  63227
180     7533979.900263  73229
195     8000470.125083  83463
210     8466666.493460  102688
225     8781314.527855  111503
240     9079632.494940  120862


# EPTMSTMP: high contention
# Cores	Txns/sec	Aborts
1       91877.952268    0
15      1255569.397074  229464
30      1549548.714844  474335
45      1772639.329978  745933
60      2041368.848966  1140095
75      1787735.474086  1438276
90      1105929.900240  1211220
105     999608.655222   1244165
120     852092.379667   1145867
135     723616.363688   1231375
150     644050.341254   1368225
165     622413.017728   1391787
180     594067.797921   1571996
195     583198.486874   1699347
210     546891.544351   1729066
225     558686.104634   1895725
240     560327.608788   1914868



# EPTMSTMP: no contention
#Cores   txns/sec
1       481832.737547   0
15      5818647.056079  0
30      9726617.669605  0
45      13606351.936856 0
60      18788847.682638 0
75      24285423.881566 0
90      28613703.358824 0
105     34522565.128626 0
120     36547760.499074 0
135     40658746.489499 0
150     46003567.130898 0
165     49272808.193383 0
180     56440387.724626 0
195     60623576.895732 0
210     63850878.401608 0
225     67848057.419745 0
240     66669685.077913 0



# EPTMSTMP: med contention
# Cores   txns/sec
1       73953.524351    0
15      1126100.612985  1010
30      1535103.056820  2680
45      2067764.654010  5403
60      2677446.174586  9292
75      3283287.062392  14289
90      3851428.626751  19957
105     4509421.609558  27313
120     4813995.038473  33085
135     5448061.322601  42136
150     6036783.806433  51778
165     6609987.860747  62527
180     7182026.043724  73963
195     7659042.175592  85484
210     8281283.514678  99738
225     8056808.896940  103663
240     8656601.309684  119461


# EPTMSTMP: high contention
# Cores   txns/sec
1       85645.651736    0
15      1160167.153920  209664
30      1460005.481653  440260
45      1720154.390910  710230
60      1891738.691233  1033907
75      1823446.242835  1384059
90      1044411.866452  1230580
105     888136.208522   1278211
120     651428.453918   1171746
135     618939.107054   1293113
150     581517.545894   1468039
165     566892.085064   1554542
180     541614.936616   1725214
195     519596.254808   1844840
210     472889.683209   1858815
225     495248.291030   2068095
240     455414.781543   2067523

