# 0.1% update
1	9.72
2	19.22
4	36.99
8	68.97
8	70.00
16	124.70
24	169.01
32	202.16
40	235.46
48	268.17
56	280.85
64	294.68
72	317.37
80	343.69
88	355.70
96	382.66


# 1% update
1	9.89
2	19.75
4	39.25
8	77.31
8	77.94
16	150.32
24	214.85
32	273.05
40	332.59
48	386.03
56	421.76
64	469.91
72	533.50
80	578.59
88	626.03
96	667.96


# 10% update
1	9.44
2	18.18
4	35.17
8	67.78
8	67.82
16	128.78
24	185.07
32	236.62
40	282.87
48	327.08
56	339.69
64	364.13
72	386.46
80	408.97
88	436.82
96	450.99


# 50% update
1	8.01
2	14.41
4	26.16
8	47.59
8	47.54
16	85.01
24	117.71
32	147.95
40	175.80
48	201.21
56	186.71
64	199.61
72	214.07
80	225.68
88	237.32
96	246.32


# 100% update
1	6.96
2	11.84
4	20.46
8	35.43
8	35.46
16	60.41
24	81.59
32	100.30
40	117.64
48	133.36
56	116.02
64	126.40
72	135.93
80	145.41
88	153.48
96	160.79
