# 0.1% update
1	10.22
2	20.15
4	38.94
8	71.64
8	73.00
16	130.55
24	173.89
32	209.84
40	244.89
48	270.57
56	294.98
64	308.44
72	324.99
80	343.31
88	367.26
96	381.33


# 1% update
1	10.36
2	20.65
4	41.16
8	81.25
8	81.03
16	154.69
24	218.94
32	279.02
40	336.27
48	392.19
56	434.48
64	483.70
72	531.15
80	577.38
88	619.96
96	650.43


# 10% update
1	9.80
2	18.76
4	35.93
8	68.39
8	68.38
16	128.24
24	181.49
32	229.40
40	274.16
48	320.76
56	323.07
64	343.42
72	363.24
80	380.23
88	392.51
96	401.35


# 50% update
1	8.18
2	14.44
4	25.69
8	46.01
8	46.07
16	81.25
24	112.30
32	139.10
40	164.11
48	184.01
56	93.44
64	88.24
72	89.73
80	96.38
88	97.54
96	97.95


# 100% update
1	6.95
2	11.67
4	19.75
8	33.69
8	33.67
16	56.37
24	75.06
32	90.69
40	103.22
48	111.42
56	70.87
64	69.92
72	55.53
80	53.21
88	50.24
96	49.35
