4	5792.48741792
15	20687.2437585
30	35063.6961782
45	47681.2985368
60	59245.3924346
75	66662.6901879
90	73889.2776922
105	77855.6670799
120	70150.3829566
135	61792.2147115
150	62591.4081654
165	69435.1178615
180	67323.3494622
195	69766.0425135
210	66654.9382593
225	63405.5537789
240	58001.3725738


4	82.1671883631
15	122.615759912
30	132.208590707
45	107.970042962
60	97.7690871922
75	83.967580656
90	80.0751950914
105	76.2394256961
120	83.610880152
135	81.9968076427
150	87.3150024695
165	73.9649438383
180	76.3505505635
195	81.7844549388
210	84.7078214772
225	91.0973798952
240	88.4202448702


4	254.096851409
15	355.569591292
30	471.304423874
45	588.040391952
60	640.573158617
75	702.582410496
90	772.761263703
105	829.020289994
120	946.706259651
135	1012.54417513
150	1031.69652741
165	895.012735797
180	917.327127373
195	937.655852016
210	959.630776827
225	973.599276812
240	1025.31642661


4	373.043638372
15	268.07059832
30	294.052894843
45	320.037579111
60	358.614536654
75	437.124287815
90	474.711410873
105	562.59320197
120	821.718493883
135	1245.55823681
150	1439.21266413
165	1266.7083922
180	1499.34277156
195	1591.08774996
210	1871.89159068
225	2183.34198594
240	3236.36246671


