1	74400000.000000	5630000	
2	12900000.000000	5740000	
4	5230000.000000	5690000	
8	2900000.000000	5690000	
15	1920000.000000	5670000	
30	1200000.000000	5670000	
45	810000.000000	5670000	
60	594000.000000	5670000	
75	436000.000000	5670000	
90	365000.000000	5660000	
105	310000.000000	5660000	
120	242000.000000	5570000	
135	205000.000000	5590000	
150	179000.000000	5610000	
165	169000.000000	5630000	
180	163000.000000	5640000	
195	149000.000000	5660000	
210	143000.000000	5670000	
225	129000.000000	5680000	
240	128000.000000	5700000	
