# EPTMSTMP: no contention
# Cores   txns/sec
1       501422.284309   0
16      8697917.084096  0
32      17519465.229009 0
48      26260838.952112 0
64      34743212.227132 0
80      39957007.657035 0
96      46050259.308502 0
112     51569004.573236 0
128     56693284.456276 0
144     59243913.367271 0
160     61893331.595577 0
176     64102684.969714 0
192     66371392.797810 0


# EPTMSTMP: med contention
# Cores   txns/sec
1       68188.762587    0
16      1157408.489764  1105
32      2370721.343366  4603
48      3596886.514830  10579
64      4790397.068594  18781
80      5636655.327349  27633
96      6447307.981965  38005
112     7238463.188066  49869
128     8102485.427957  63850
144     8457532.945316  74949
160     8985359.087094  89000
176     9504244.638744  103576
192     10229382.287272  111576


# EPTMSTMP: high contention
# Cores   txns/sec
1       66537.782981    0
16      971039.922333   197276
32      1758527.230271  722867
48      2354116.497810  1532537
64      2709315.063061  2700952
80      2528333.230000  4369555
96      2354329.047949  5953885
112     2161467.487041  6935703
128     1970409.583403  7260293
144     1919719.207141  8255729
160     1826035.705995  9189303
176     1617904.603076  9443896
192     1557291.638286  9824726
