# TICTOC: no contention
# Cores   txns/sec
1       503237.832212   0
16      8658394.760379  0
32      17671160.220034 0
48      26520290.357530 0
64      35094305.474813 0
80      40929044.521454 0
96      46570157.440939 0
112     52556906.335842 0
128     57800871.374768 0
144     60724732.421479 0
160     63657874.535344 0
176     65834671.121679 0
192     68834120.570454 0


# TICTOC: med contention
# Cores   txns/sec
1       65660.446587    0
16      1111961.601476  309
32      2272096.005636  1307
48      3433845.585667  2969
64      4588167.397507  5321
80      5411048.805288  7866
96      6226316.054298  10825
112     7056514.772864  14473
128     7831939.596357  18327
144     8249760.625646  21772
160     8694645.846427  25623
176     9126896.900091  29682
192     9592282.182731  34682


# TICTOC: high contention
# Cores   txns/sec
1       64434.152163    0
16      932288.430791   135056
32      1657123.772382  502979
48      2151021.418809  1090215
64      2343357.684401  1965683
80      2156060.065694  3447878
96      1977574.392523  4632911
112     1828097.824462  5384104
128     1691870.795456  5724286
144     1645484.628339  6839453
160     1565649.766792  7660517
176     1442126.360212  7978986
192     1392824.287222  8548226
